ticker,earliest_date,latest_date,active_2008,active_2020,total_bars
RELIANCE.NS,1996-01-01,2026-09-03,True,True,7700
TCS.NS,2002-08-12,2026-09-03,True,True,5976
HDFCBANK.NS,1996-01-01,2026-09-03,True,True,7703
INFY.NS,1996-01-01,2026-09-03,True,True,7703
ICICIBANK.NS,2002-07-01,2026-09-03,True,True,6005
HINDUNILVR.NS,1996-01-01,2026-09-03,True,True,7703
ITC.NS,1996-01-01,2026-09-03,True,True,7700
SBIN.NS,1996-01-01,2026-09-03,True,True,7701
BHARTIARTL.NS,2002-07-01,2026-09-03,True,True,6005
KOTAKBANK.NS,2001-07-02,2026-09-03,True,True,6266
LT.NS,2002-07-01,2026-09-03,True,True,6008
AXISBANK.NS,1998-11-27,2026-09-03,True,True,6940
ASIANPAINT.NS,2002-07-01,2026-09-03,True,True,6004
MARUTI.NS,2003-07-09,2026-09-03,True,True,5741
TITAN.NS,1996-01-01,2026-09-03,True,True,7703
BAJFINANCE.NS,2002-07-01,2026-09-03,True,True,6005
SUNPHARMA.NS,1996-01-01,2026-09-03,True,True,7703
ULTRACEMCO.NS,2002-08-12,2026-09-03,True,True,5975
TATASTEEL.NS,1996-01-01,2026-09-03,True,True,7703
NTPC.NS,2004-11-05,2026-09-03,True,True,5394
POWERGRID.NS,2007-10-05,2026-09-03,True,True,4667
M&M.NS,1996-01-01,2026-09-03,True,True,7701
WIPRO.NS,1996-01-01,2026-09-03,True,True,7703
HCLTECH.NS,2002-08-12,2026-09-03,True,True,5979
ONGC.NS,1996-01-01,2026-09-03,True,True,7700
JSWSTEEL.NS,2003-05-08,2026-09-03,True,True,5785
ADANIENT.NS,2002-07-01,2026-09-03,True,True,6007
ADANIPORTS.NS,2007-11-27,2026-09-03,True,True,4631
COALINDIA.NS,2010-11-04,2026-09-03,False,True,3908
BAJAJFINSV.NS,2002-08-12,2026-09-03,True,True,5973
BHEL.NS,1996-01-01,2026-09-03,True,True,7700
VEDL.NS,1996-01-01,2026-09-03,True,True,7703
SAIL.NS,1996-01-01,2026-09-03,True,True,7703
PNB.NS,2002-07-01,2026-09-03,True,True,6007
YESBANK.NS,2005-07-12,2026-09-03,True,True,5221
ZEEL.NS,2002-07-01,2026-09-03,True,True,6005
IDEA.NS,2007-03-09,2026-09-03,True,True,4811
RCOM.NS,2002-08-12,2026-09-03,True,True,5972
SUZLON.NS,2005-10-19,2026-09-03,True,True,5153
GAIL.NS,1997-04-02,2026-09-03,True,True,7373
BPCL.NS,1996-01-02,2026-09-03,True,True,7699
IOC.NS,1996-04-15,2026-09-03,True,True,7625
CIPLA.NS,1996-01-01,2026-09-03,True,True,7701
DRREDDY.NS,1996-01-01,2026-09-03,True,True,7699
GRASIM.NS,2002-07-01,2026-09-03,True,True,6004
HEROMOTOCO.NS,2002-07-01,2026-09-03,True,True,6005
HINDALCO.NS,1996-01-01,2026-09-03,True,True,7703
DIVISLAB.NS,2003-03-12,2026-09-03,True,True,5824
UPL.NS,2002-07-01,2026-09-03,True,True,6005
TECHM.NS,2006-08-28,2026-09-03,True,True,4942
EICHERMOT.NS,1996-01-01,2026-09-03,True,True,7700
SHRIRAMFIN.NS,2002-07-01,2026-09-03,True,True,6008
TRENT.NS,2002-07-01,2026-09-03,True,True,6005
BEL.NS,2002-07-01,2026-09-03,True,True,6005
HAL.NS,2018-04-02,2026-09-03,False,True,2085
